full_text,tokens,processed_text
obe bikin anakanak lebih ngerti apa yang harus mereka capai,"['obe', 'bikin', 'anakanak', 'ngerti', 'capai']",obe bikin anakanak ngerti capai
menurut saya kurikulum obe sama saja seperti kurikulum sebelumnya,"['kurikulum', 'obe', 'kurikulum']",kurikulum obe kurikulum
capek sekali jadi guru sekarang banyak sekali berkas yang harus diisi garagara obe,"['capek', 'guru', 'berkas', 'isi', 'garagara', 'obe']",capek guru berkas isi garagara obe
anakanak jadi lebih kritis semenjak pakai kurikulum obe,"['anakanak', 'kritis', 'semenjak', 'pakai', 'kurikulum', 'obe']",anakanak kritis semenjak pakai kurikulum obe
masih bingung gimana cara nilai siswa dengan sistem obe ini,"['bingung', 'gimana', 'nilai', 'siswa', 'sistem', 'obe']",bingung gimana nilai siswa sistem obe
sejak pakai obe muridmurid di sekolah kami jadi lebih aktif di kelas,"['pakai', 'obe', 'muridmurid', 'sekolah', 'aktif', 'kelas']",pakai obe muridmurid sekolah aktif kelas
guruguru pada tepar ngerjain administrasi obe,"['guruguru', 'tepar', 'ngerjain', 'administrasi', 'obe']",guruguru tepar ngerjain administrasi obe
obe ini kemajuan yang bagus untuk dunia pendidikan kita,"['obe', 'maju', 'bagus', 'dunia', 'didik']",obe maju bagus dunia didik
obe sepertinya kurang cocok sama budaya belajar di indonesia,"['obe', 'cocok', 'budaya', 'ajar', 'indonesia']",obe cocok budaya ajar indonesia
guruguru kurang dilatih untuk mengajar pakai obe,"['guruguru', 'latih', 'ajar', 'pakai', 'obe']",guruguru latih ajar pakai obe
anakanak saya jadi lebih mandiri belajarnya dengan obe,"['anakanak', 'mandiri', 'ajar', 'obe']",anakanak mandiri ajar obe
obe bagus di teori tapi susah sekali diterapkan,"['obe', 'bagus', 'teori', 'susah', 'terap']",obe bagus teori susah terap
di sekolah kami perubahan ke obe lancarlancar saja,"['sekolah', 'ubah', 'obe', 'lancarlancar']",sekolah ubah obe lancarlancar
cara menilai di obe lebih menyeluruh jadi tau beneran kemampuan anak,"['nilai', 'obe', 'tau', 'beneran', 'mampu', 'anak']",nilai obe tau beneran mampu anak
pusing dengan banyaknya istilah asing di obe,"['pusing', 'banyak', 'istilah', 'asing', 'obe']",pusing banyak istilah asing obe
obe cocok sekali untuk anak zaman sekarang yang serba digital,"['obe', 'cocok', 'anak', 'zaman', 'serba', 'digital']",obe cocok anak zaman serba digital
susah bagi semua anak untuk mencapai standar obe,"['susah', 'anak', 'capai', 'standar', 'obe']",susah anak capai standar obe
ya biasa saja obe ini tidak ada yang spesial dibanding kurikulum lama,"['ya', 'obe', 'spesial', 'banding', 'kurikulum']",ya obe spesial banding kurikulum
pelatihan obe yang kemarin itu ngebantu sekali,"['latih', 'obe', 'kemarin', 'ngebantu']",latih obe kemarin ngebantu
jadi guru kok seperti dipasung kreatifitasnya dengan obe,"['guru', 'pasung', 'kreatifitasnya', 'obe']",guru pasung kreatifitasnya obe
anakanak lebih semangat belajar kalau tau hasil akhirnya seperti apa,"['anakanak', 'semangat', 'ajar', 'tau', 'hasil']",anakanak semangat ajar tau hasil
kasian sekolah di pelosok susah sekali terapin obe,"['kasi', 'sekolah', 'pelosok', 'susah', 'terapin', 'obe']",kasi sekolah pelosok susah terapin obe
orang tua juga harus tau tentang obe jangan hanya guru saja,"['orang', 'tua', 'tau', 'obe', 'guru']",orang tua tau obe guru
obe bagus untuk persiapan anakanak nyari kerja nanti,"['obe', 'bagus', 'siap', 'anakanak', 'nyari', 'kerja']",obe bagus siap anakanak nyari kerja
masih bingung cara nerapin obe petunjuknya kurang jelas,"['bingung', 'nerapin', 'obe', 'tunjuk']",bingung nerapin obe tunjuk
enak pakai obe anakanak jadi lebih sering kerja kelompok,"['enak', 'pakai', 'obe', 'anakanak', 'kerja', 'kelompok']",enak pakai obe anakanak kerja kelompok
anak yang nilainya selalu jelek jadi tambah stres garagara obe,"['anak', 'nilai', 'jelek', 'stres', 'garagara', 'obe']",anak nilai jelek stres garagara obe
ya wajar lah kurikulum gantiganti namanya juga perkembangan,"['ya', 'wajar', 'kurikulum', 'gantiganti', 'nama', 'kembang']",ya wajar kurikulum gantiganti nama kembang
obe butuh sarana yang lebih bagus lab kita saja masih berantakan,"['obe', 'butuh', 'sarana', 'bagus', 'lab', 'beranta']",obe butuh sarana bagus lab beranta
anakanak jadi lebih pinter menganalisa masalah sejak pakai obe,"['anakanak', 'pinter', 'menganalisa', 'pakai', 'obe']",anakanak pinter menganalisa pakai obe
obe terlalu fokus sama hasil akhir prosesnya jadi tidak dihargai,"['obe', 'fokus', 'hasil', 'proses', 'harga']",obe fokus hasil proses harga
nilai di obe lebih fair karena lihat hasil nyata,"['nilai', 'obe', 'fair', 'lihat', 'hasil', 'nyata']",nilai obe fair lihat hasil nyata
pemerintah asal ganti kurikulum saja tanpa persiapan matang,"['perintah', 'ganti', 'kurikulum', 'siap', 'matang']",perintah ganti kurikulum siap matang
obe pas sekali untuk kebutuhan jaman now,"['obe', 'pas', 'butuh', 'jaman', 'now']",obe pas butuh jaman now
pusing baru adaptasi kurikulum lama sekarang ganti lagi ke obe,"['pusing', 'adaptasi', 'kurikulum', 'ganti', 'obe']",pusing adaptasi kurikulum ganti obe
