full_text,tokens,processed_text
departemen pendidikan politeknik negeri bali mengadakan workshop pendidikan berbasis hasil untuk meningkatkan kompetensi dosen dalam implementasi kurikulum obe,"['departemen', 'didik', 'politeknik', 'negeri', 'bal', 'ada', 'workshop', 'didik', 'basis', 'hasil', 'tingkat', 'kompetensi', 'dosen', 'implementasi', 'kurikulum', 'obe']",departemen didik politeknik negeri bal ada workshop didik basis hasil tingkat kompetensi dosen implementasi kurikulum obe
fakultas teknik universitas gadjah mada menyelenggarakan seminar nasional tentang implementasi pendidikan berbasis hasil dalam kurikulum engineering,"['fakultas', 'teknik', 'universitas', 'gadjah', 'mada', 'selenggara', 'seminar', 'nasional', 'implementasi', 'didik', 'basis', 'hasil', 'kurikulum', 'engineering']",fakultas teknik universitas gadjah mada selenggara seminar nasional implementasi didik basis hasil kurikulum engineering
tantangan terbesar dalam penerapan kurikulum obe adalah mengubah mindset pengajar dari teachingcentered menjadi studentcentered learning,"['tantang', 'besar', 'terap', 'kurikulum', 'obe', 'ubah', 'mindset', 'ajar', 'teachingcentered', 'studentcentered', 'learning']",tantang besar terap kurikulum obe ubah mindset ajar teachingcentered studentcentered learning
outcome based education menekankan pada pencapaian kompetensi lulusan yang dibutuhkan industri dan masyarakat global,"['outcome', 'based', 'education', 'tekan', 'capai', 'kompetensi', 'lulus', 'butuh', 'industri', 'masyarakat', 'global']",outcome based education tekan capai kompetensi lulus butuh industri masyarakat global
webinar hari ini membahas strategi implementasi kurikulum obe di perguruan tinggi indonesia untuk meningkatkan kualitas lulusan,"['webinar', 'bahas', 'strategi', 'implementasi', 'kurikulum', 'obe', 'guru', 'indonesia', 'tingkat', 'kualitas', 'lulus']",webinar bahas strategi implementasi kurikulum obe guru indonesia tingkat kualitas lulus
akreditasi internasional mendorong perguruan tinggi beralih ke pendidikan berbasis hasil sebagai standar pendidikan tinggi global,"['akreditasi', 'internasional', 'dorong', 'guru', 'alih', 'didik', 'basis', 'hasil', 'standar', 'didik', 'global']",akreditasi internasional dorong guru alih didik basis hasil standar didik global
dikti mengadakan pelatihan penyusunan kurikulum berbasis obe untuk mendukung kampus merdeka dan merdeka belajar,"['dikti', 'ada', 'latih', 'susun', 'kurikulum', 'basis', 'obe', 'dukung', 'kampus', 'merdeka', 'merdeka', 'ajar']",dikti ada latih susun kurikulum basis obe dukung kampus merdeka merdeka ajar
pendidikan berbasis hasil menuntut adanya kerjasama antara perguruan tinggi dan industri untuk menentukan kompetensi lulusan,"['didik', 'basis', 'hasil', 'tuntut', 'kerjasama', 'guru', 'industri', 'tentu', 'kompetensi', 'lulus']",didik basis hasil tuntut kerjasama guru industri tentu kompetensi lulus
universitas airlangga mengimplementasikan kurikulum obe secara penuh pada semua program studi mulai tahun akademik 2025,"['universitas', 'airlangga', 'implementasi', 'kurikulum', 'obe', 'penuh', 'program', 'studi', 'akademik', '2025']",universitas airlangga implementasi kurikulum obe penuh program studi akademik 2025
pengukuran ketercapaian learning outcome menjadi kunci keberhasilan implementasi kurikulum berbasis hasil,"['ukur', 'capai', 'learning', 'outcome', 'kunci', 'hasil', 'implementasi', 'kurikulum', 'basis', 'hasil']",ukur capai learning outcome kunci hasil implementasi kurikulum basis hasil
